region,cause,deaths,rate_per_100000,lower_ci,upper_ci
North East,All causes,28036,1053.7,1041.3,1066.1
North East,Dementia and Alzheimer's,3235,124.4,120.1,128.7
North West,All causes,72016,1028.0,1020.5,1035.6
North West,Dementia and Alzheimer's,9060,131.5,128.8,134.2
Yorkshire and the Humber,All causes,52547,998.8,990.3,1007.4
Yorkshire and the Humber,Dementia and Alzheimer's,6616,127.0,124.0,130.1
East Midlands,All causes,45429,953.6,944.8,962.4
East Midlands,Dementia and Alzheimer's,5888,125.1,121.9,128.3
West Midlands,All causes,54601,954.0,946.0,962.0
West Midlands,Dementia and Alzheimer's,6907,120.3,117.5,123.2
East,All causes,57199,877.3,870.1,884.5
East,Dementia and Alzheimer's,7832,116.8,114.2,119.4
London,All causes,49007,809.1,801.9,816.4
London,Dementia and Alzheimer's,5331,91.3,88.9,93.8
South East,All causes,81234,845.8,839.9,851.6
South East,Dementia and Alzheimer's,10831,108.7,106.6,110.7
South West,All causes,56301,866.7,859.5,873.9
South West,Dementia and Alzheimer's,7076,104.5,102.1,106.9
Wales,All causes,33183,1000.1,989.4,1010.9
Wales,Dementia and Alzheimer's,3628,109.4,105.8,112.9
