Date,Number_of_cases
Mar_2026,"513,135"
Feb_2026,"510,339"
Jan_2026,"510,165"
Dec_2025,"512,466"
Nov_2025,"513,180"
Oct_2025,"512,430"
Sep_2025,"510,536"
Aug_2025,"508,500"
Jul_2025,"506,549"
Jun_2025,"503,370"
May_2025,"500,677"
Apr_2025,"498,926"
Mar_2025,"498,729"
Feb_2025,"496,471"
Jan_2025,"495,904"
Dec_2024,"498,221"
Nov_2024,"499,068"
Oct_2024,"497,233"
Sep_2024,"495,488"
Aug_2024,"492,901"
Jul_2024,"490,163"
Jun_2024,"487,432"
May_2024,"484,277"
Apr_2024,"481,783"
Mar_2024,"481,707"
Feb_2024,"478,822"
Jan_2024,"477,623"
Dec_2023,"479,540"
Nov_2023,"479,652"
Oct_2023,"477,606"
Sep_2023,"475,573"
Aug_2023,"473,086"
Jul_2023,"469,679"
Jun_2023,"465,516"
May_2023,"461,340"
Apr_2023,"460,518"
Mar_2023,"448,776"
Feb_2023,"438,213"
Jan_2023,"431,845"
Dec_2022,"434,411"
Oct_2022,"427,176"
